"Designator","Comment","DNP","Footprint","JLCPCB Part #"
"C3,C4,C5,C6,C7,C10,C11","100nF","","Capacitor_SMD:C_0402_1005Metric","C1525"
"C8,C9","1uF","","Capacitor_SMD:C_0603_1608Metric","C1592"
"C12","10nF","DNP","Capacitor_SMD:C_0402_1005Metric","C1524"
"R1","5Ω Shunt","","Resistor_SMD:R_2512_6332Metric","C5123609"
"R3","","DNP","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",""
"R4","0Ω","","Resistor_SMD:R_0402_1005Metric","C17168"
"R5","10kΩ","DNP","Resistor_SMD:R_0402_1005Metric","C17168"
"U2","W25Q128JVS","","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","C97521"
"U3","RP2040","","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","C2040"
