Ref,Val,Package,PosX,PosY,Rot,Side
"C3","100nF","C_0402_1005Metric",123.000000,-87.500000,90.000000,top
"C4","100nF","C_0402_1005Metric",136.120000,-115.740000,180.000000,top
"C5","100nF","C_0402_1005Metric",136.120000,-113.770000,180.000000,top
"C6","100nF","C_0402_1005Metric",136.120000,-111.800000,180.000000,top
"C7","100nF","C_0402_1005Metric",136.120000,-109.830000,180.000000,top
"C8","1uF","C_0603_1608Metric",129.700000,-104.200000,0.000000,top
"C9","1uF","C_0603_1608Metric",129.700000,-102.400000,0.000000,top
"C10","100nF","C_0402_1005Metric",134.600000,-98.720000,90.000000,top
"C11","100nF","C_0402_1005Metric",136.700000,-98.720000,90.000000,top
"C12","10nF","C_0402_1005Metric",134.700000,-93.280000,-90.000000,top
"R1","5Ω","R_2512_6332Metric",140.300000,-91.300000,90.000000,top
"R3","~","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",117.412500,-87.500000,180.000000,top
"R4","0Ω","R_0402_1005Metric",110.890000,-117.800000,0.000000,top
"R5","10kΩ","R_0402_1005Metric",111.400000,-120.500000,-90.000000,top
"U2","W25Q128JVS","SOIC-8_5.3x5.3mm_P1.27mm",117.500000,-92.500000,0.000000,top
"U3","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",126.125000,-109.290000,0.000000,top
"Y1","~","Conn_UFO308_Target",126.125000,-109.290000,0.000000,top
