Designator,Mid X,Mid Y,Layer,Rotation
C3,123.00mm,-87.50mm,Top,90
C4,136.12mm,-115.74mm,Top,180
C5,136.12mm,-113.77mm,Top,180
C6,136.12mm,-111.80mm,Top,180
C7,136.12mm,-109.83mm,Top,180
C8,129.70mm,-104.20mm,Top,0
C9,129.70mm,-102.40mm,Top,0
C10,134.60mm,-98.72mm,Top,90
C11,136.70mm,-98.72mm,Top,90
C12,134.70mm,-93.28mm,Top,-90
R1,140.30mm,-91.30mm,Top,90
R3,117.41mm,-87.50mm,Top,180
R4,110.89mm,-117.80mm,Top,0
R5,111.40mm,-120.50mm,Top,-90
U2,117.50mm,-92.50mm,Top,-90
U3,126.12mm,-109.29mm,Top,0
